,Smiles,Name
0,CNC4(CC(N)C(O)C(OC2(OC(CO)C(O)C3(OC1(OC(C(N)CO)C(O)C(O)C(O)1)(OC23))))C(O)4),hygromycin b
1,C(C1(OC(C(C(C1O)O)O)OC2(C(C(C(C(O2)COP(O)(=O)O)O)O)O)))O,6-o-phosphonohexopyranosyl hexopyranoside
2,C(C1(OC(C(O)C(O)C1O)OC2(C=CC3(=C(C=2)OC=C(C3=O)C4(C=CC(=CC=4)O)))))O,AC1N4RYA
3,CC(C=CC1(=C(CCCC(C)(C)1)C))=CC=CC(=CCO)C,9-cis retinol
4,C=CC(C)(C)C23(CC5(N(C(NC1(C=CC=CC=12))3)C(=O)C(=CC4(=CNC=N4))NC(=O)5)),58735-64-1
5,C(O)CC1(=CNC3(=C1C=C(OC2(OC(C(=O)O)C(O)C(O)C(O)2))C=C3)),5-HYDROXY TRYPTOPHOL BETA-D-GLUCURONIDE
6,C(O)(=O)CC(=O)C1(C=CC=CC=1),3-oxo-3-phenylpropanoic acid
7,C(CCC(NCCC(=O)O)C(=O)O)NC(=N)N,AC1L9AL3
8,C(O)C1(C(O)C(O)C(OP(=O)(O)O)O1),1-o-phosphonopentofuranose
9,CC(N)C(=O)NC(CC1(=CNC=N1))C(=O)O,Alanylhistidine
10,CC(C)=CCC3(=C(C1(=C(OC=C(C1=O)C2(=CC=C(O)C=C2))C=C(O)3))O),Wighteone
11,CC(O)(CCOP(=O)(O)O)CC(=O)O,Phosphomevalonic acid
12,C(NC1(C(C(C(C(C(O)1)O)OP(O)(O)=O)NC(N)=N)O))(N)=N,"2,4-bis[(diaminomethylidene)amino]-3,5,6-trihydroxycyclohexyl dihydrogen phosphate"
13,CC1(C=CC=C(Cl)C=1),3-Chlorotoluene
14,C1(C(C(C(CO1)O)O)O)OP(O)(O)=O,AC1MUZPX
15,CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP(O)(=O)O)C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))O)O,Decanoyl-CoA
16,C1(CCC(C1)O),CYCLOPENTANOL
17,C(C(CC1(=CC(I)=C(C(=C1)I)OC2(=CC=C(C=C2)O)))N)(O)=O,"3,5-Diiodothyronine"
18,CC1(=CC(Cl)=CC=C(O)1),4-CHLORO-2-METHYLPHENOL
19,CC1(N=C(O)C(CO)=CN=1),698-30-6
20,CC3(=C5(C(C(C(C4(N=C(C(C)=C1(C(C(CCC(=O)O)C(=N1)C=C2(C(C)(C)C(CCC(=O)O)C(=N2)3))(CC(=O)N)C))C(CCC(O)=O)C(CC(=O)N)(C)4)C)N5)CC(=O)O)(C)CCC(=O)O)),AC1NQVOL
21,C4(C2(C(=CC=C1(OCOC1=2))C3(C=CC5(C=C6(OCOC(=CC(C=3N(C)4)=5)6))))),Dihydrosanguinarine
22,CC(C)=CCCC(C)=C1(CC=C(C)CC1),"Cyclohexene, 4-(1,5-dimethyl-4-hexenylidene)-1-methyl-, (4E)-"
23,CC(O)(C)C1(OC3(C(C1)=CC2(=C(OC(=O)C=C2)C=3))),AC1LCPS5
24,CC3(C1(OC2(C=C(OC)C=C(OC)C(C(=O)1)=2))C(OC)=CC(=O)C3),Dechlorogriseofulvin
25,C(NCCCNC(=O)CNC(=O)C(CS)NC(=O)CCC(N)C(O)=O)CCCNC(=O)CNC(=O)C(CS)NC(=O)CCC(N)C(O)=O,AC1L1AU5
26,C=CC(CC)=O,ETHYL VINYL KETONE
27,C6(OC(=O)C7(=CC(=C(O)C(O)=C(C1(C(=C(O)C(O)=CC=1C(=O)OC3(C(OC(O)C4(OC(=O)C5(=CC(=C(O)C(O)=C(C2(C(=C(O)C(O)=CC=2C(=O)OC34)O))5)O)))6))O))7)O)),AC1LAOTG
28,CC(=CCC1(=C(O)C=C(O)C2(C(=O)CC(OC1=2)C3(=CC=C(O)C=C3))))C,8-isopentenylnaringenin
29,C=CCS(=O)CC(N)C(O)=O,PCSO
30,N(O)=NO,Hyponitrous acid
31,C(O)C1(C(C(O)C(C(O1)OC2(C(C(CO)OC(CO)2OC4(C(C(C(C(COC3(C(C(C(C(CO)O3)O)O)O))O4)O)O)O))O))O)O),AC1MOIJ1
32,C1(CCC(CC1)N),CYCLOHEXYLAMINE
33,C3(=CC(C1(C(C2(=CC=C(C=C(OC1)2)O))=O))=C(C=C3O)O),2'-Hydroxydihydrodaidzein
34,C(=O)(O)C(N)CC1(=CC=CC(O)=C1),DL-m-Tyrosine
35,COC1(C(O)=CC(=CC=1)C2(OC3(C(C(=O)C=2OC)=C(O)C(O)=C(OC)C=3))),Oxyayanin B
36,CC(O)(C)CC(O)=O,beta-Hydroxyisovaleric acid
37,CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP(O)(=O)O)C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))O)O,AC1NORMP
38,C2(C=CC3(SC1(C=CC=CC=1C(C=2)=3))),dibenzothiophene
39,C(O)(=O)CC(C(C(=O)O)OC(C=CC1(C=CC(=C(C=1)O)O))=O)C(O)=O,AC1L9862
40,CC(C)C1(C=CC(C(=O)O)=C(C=1O)O),"2,3-DIHYDROXY-4-(1-METHYLETHYL)BENZOIC ACID"
41,CC(C(=O)C(O)=O)(CO)C,ketopantoic acid
42,C(OP(O)(=O)O)C1(OC(O)CC(O)1),deoxyribose 5-phosphate
43,C(C1(OC(C(C(C1O)O)O)O))OP(O)(O)=O,6-o-phosphonohexopyranose
44,CC3(=CN(C2(OC(COP(OP(OC1(C(C(C(N)C(O1)C)O)O))(O)=O)(O)=O)C(C2)O))C(NC(=O)3)=O),AC1LCV27
45,C(=O)(O)C=CC1(=CC=CC=C1),"2-Propenoic acid, 3-phenyl-"
46,CCCCCCCCC=CC=CCC(=O)O,"tetradeca-3,5-dienoic acid"
47,C1(=C(Cl)C(Cl)=CC(Cl)=C(Cl)1),"1,2,4,5-TETRACHLOROBENZENE"
48,C(=O)(O)CCC(O)C=C(O)C(=O)O,"2,4-Dihydroxyhept-2-enedioic acid"
49,CCCCCC(=O)C1(=C(O)C2(=C(C=C(O)1)C(=O)C3(=C(C(=O)2)C(O)=CC(O)=C3))),Norsolorinic acid
50,CC2(C)(CC(C1(CC=C(CO)CC1))=CCC2),"[4-(5,5-dimethylcyclohex-1-en-1-yl)-cyclohex-1-en-1-yl] methanol"
51,C2(NC1(C(=CC=CC=1)C=2C3(C=C(NC(C(O)=O)=3)C4(C5(=C(NC=4)C=CC(O)=C5))))),protoviolaceinic acid
52,CC2(=C(C(=O)C1(C(O)=CC(OC)=CC(O)=1))C(=CC(O)=C2)O),griseophenone D
