Reactions standart Gibbe energy,,,,,,
Reaction index,Reaction name,ec number,Formula,Sub-System,standart Gibbs energy (kJ/mol),standart deviation (kJ/mol)
1," 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)",unknown, (-1) 12dgr120[p] <=>  (1) 12dgr120[c],"Transport, Inner Membrane",0,0
2," 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)",unknown, (-1) 12dgr140[p] <=>  (1) 12dgr140[c],"Transport, Inner Membrane",0,0
3," 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)",unknown, (-1) 12dgr141[p] <=>  (1) 12dgr141[c],"Transport, Inner Membrane",0,0
4," 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)",unknown, (-1) 12dgr160[p] <=>  (1) 12dgr160[c],"Transport, Inner Membrane",0,0
5," 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)",unknown, (-1) 12dgr161[p] <=>  (1) 12dgr161[c],"Transport, Inner Membrane",0,0
6," 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)",unknown, (-1) 12dgr180[p] <=>  (1) 12dgr180[c],"Transport, Inner Membrane",0,0
7," 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)",unknown, (-1) 12dgr181[p] <=>  (1) 12dgr181[c],"Transport, Inner Membrane",0,0
8,"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",unknown, (-1) 12ppd-DASH-R[e] <=>  (1) 12ppd-DASH-R[p],"Transport, Outer Membrane Porin",0,0
9,"(R)-Propane-1,2-diol facilitated transport (periplasm)",unknown, (-1) 12ppd-DASH-R[p] <=>  (1) 12ppd-DASH-R[c],"Transport, Inner Membrane",0,0
10,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",unknown, (-1) 12ppd-DASH-S[e] <=>  (1) 12ppd-DASH-S[p],"Transport, Outer Membrane Porin",0,0
11,"(S)-Propane-1,2-diol facilitated transport (periplasm)",unknown, (-1) 12ppd-DASH-S[p] <=>  (1) 12ppd-DASH-S[c],"Transport, Inner Membrane",0,0
12," 1,4-alpha-D-glucan transport via ABC system (periplasm)",unknown, (-1) 14glucan[p] +  (-1) atp[c] +  (-1) h2o[c] <=>  (1) 14glucan[c] +  (1) adp[c] +  (1) pi[c],"Transport, Inner Membrane",-29.4361481,1.459542669
13," 1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible",unknown, (-1) 14glucan[e] <=>  (1) 14glucan[p],"Transport, Outer Membrane",0,0
14, 23cAMP transport via diffusion (extracellular to periplasm),unknown, (-1) 23camp[e] <=>  (1) 23camp[p],"Transport, Outer Membrane Porin",0,0
15, 23cCMP transport via diffusion (extracellular to periplasm),unknown, (-1) 23ccmp[e] <=>  (1) 23ccmp[p],"Transport, Outer Membrane Porin",0,0
16, 23cGMP transport via diffusion (extracellular to periplasm),unknown, (-1) 23cgmp[e] <=>  (1) 23cgmp[p],"Transport, Outer Membrane Porin",0,0
17, 23cUMP transport via diffusion (extracellular to periplasm),unknown, (-1) 23cump[e] <=>  (1) 23cump[p],"Transport, Outer Membrane Porin",0,0
18," 2,3-diaminopropionate transport in via proton symport",unknown, (-1) 23dappa[p] <=>  (1) 23dappa[c],"Transport, Inner Membrane",0,0
19," 2,3-diaminopropionate transport via diffusion",unknown, (-1) 23dappa[e] <=>  (1) 23dappa[p],"Transport, Outer Membrane Porin",0,0
20," 2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)",3.1.4.16, (-1) 23cump[p] +  (-1) h2o[p] <=>  (1) 3ump[p],Nucleotide Salvage Pathway,-42.33297146,3.319976778
21," 2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)",3.1.4.16, (-1) 23ccmp[p] +  (-1) h2o[p] <=>  (1) 3cmp[p],Nucleotide Salvage Pathway,-42.32212088,3.319976778
22," 2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)",3.1.4.16, (-1) 23camp[p] +  (-1) h2o[p] <=>  (1) 3amp[p],Nucleotide Salvage Pathway,-42.31188678,3.319976778
23," 2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)",3.1.4.16, (-1) 23cgmp[p] +  (-1) h2o[p] <=>  (1) 3gmp[p],Nucleotide Salvage Pathway,-42.32445238,3.319976778
